,date,min_temp,mean_temp,max_temp,precipitation,liquid_outflow,qsim,snowwater,thermal
2340,2001-12-27,-4.69,-1.5699999999999932,0.7700000000000387,6.51,0.1005534030301296,0.9180769230769625,42.93909908042683,-1.9385843470236392
2341,2001-12-28,1.0400000000000205,2.340000000000032,3.2700000000000387,29.72,24.61991929895121,33.20912842221307,39.44997065821376,0.0
2342,2001-12-29,-0.1099999999999568,3.5200000000000387,4.7000000000000455,39.47,31.980175799210212,43.57910693848591,35.34086371972785,0.0
2343,2001-12-30,-6.899999999999977,-3.4699999999999704,-0.0399999999999636,0.07,0.0,0.0,35.41086371972785,-2.602499999999978
2344,2001-12-31,-8.799999999999955,-5.669999999999959,-1.17999999999995,0.0,0.0,0.0,35.41086371972785,-4.903124999999964
2345,2002-01-01,-8.899999999999977,-5.509999999999991,0.0400000000000204,0.0,0.0,0.0,35.41086371972785,-5.358281249999984
2346,2002-01-02,-9.509999999999993,-6.339999999999975,-0.5799999999999841,0.0,0.0,0.0,35.41086371972785,-6.094570312499977
2347,2002-01-03,-8.20999999999998,-2.2099999999999795,1.5300000000000296,0.0,0.0,0.0,35.41086371972785,-3.181142578124979
2348,2002-01-04,-6.70999999999998,-2.4499999999999886,2.62,0.0,0.0,0.0,35.41086371972785,-2.632785644531236
2349,2002-01-05,-7.25,-4.17999999999995,2.140000000000043,0.0,0.0,0.0,35.41086371972785,-3.7931964111327714
2350,2002-01-06,-7.009999999999991,-3.599999999999966,1.88,0.0,0.0,0.0,35.41086371972785,-3.6482991027831675
2351,2002-01-07,-6.359999999999957,-4.009999999999991,-0.8799999999999955,0.01,0.0,0.0,35.42086371972785,-3.919574775695785
2352,2002-01-08,-6.819999999999993,-2.9899999999999523,3.82000000000005,0.0,0.0,0.0,35.42086371972785,-3.2223936939239106
2353,2002-01-09,-7.009999999999991,-4.019999999999982,1.5200000000000389,0.0,0.0,0.0,35.42086371972785,-3.820598423480964
2354,2002-01-10,-6.909999999999968,-4.17999999999995,1.6000000000000227,0.0,0.0,0.0,35.42086371972785,-4.090149605870203
2355,2002-01-11,-6.87,-2.349999999999966,2.37,0.0,0.0,0.0,35.42086371972785,-2.785037401467525
2356,2002-01-12,-3.2999999999999545,-0.8499999999999659,4.210000000000036,0.0,0.0,0.0,35.42086371972785,-1.3337593503668557
2357,2002-01-13,-5.06,-1.5199999999999818,4.960000000000036,0.0,0.0,0.0,35.42086371972785,-1.4734398375917004
2358,2002-01-14,-5.81,-2.919999999999959,2.080000000000041,0.0,0.0,0.0,35.42086371972785,-2.5583599593978943
2359,2002-01-15,-3.849999999999966,-0.7099999999999795,1.87,9.82,1.1129203108044612,3.2103846153846343,42.030479104343215,-1.1720899898494581
2360,2002-01-16,-1.12,-0.2799999999999727,0.160000000000025,3.8,0.0,0.4750000000000649,45.355479104343146,-0.5030224974623441
2361,2002-01-17,-5.019999999999982,-1.44,1.0300000000000296,0.0,0.0,0.0,45.355479104343146,-1.205755624365586
2362,2002-01-18,-5.449999999999989,-1.7999999999999543,2.07000000000005,0.0,0.0,0.0,45.355479104343146,-1.6514389060913621
2363,2002-01-19,-3.1399999999999864,1.0100000000000475,2.12,3.03,0.494816524325615,2.838226830615057,45.547252273728084,0.0
2364,2002-01-20,0.5800000000000409,2.44,4.850000000000023,0.0,1.7350441739291804,3.803796114794808,41.74345615893328,0.0
2365,2002-01-21,0.1400000000000432,4.710000000000036,8.970000000000027,0.0,5.291877321479438,6.876483751145542,34.866972407787735,0.0
2366,2002-01-22,-2.37,2.260000000000048,5.720000000000027,2.67,2.900726485080796,4.829042542174314,32.707929865613416,0.0
2367,2002-01-23,1.7300000000000182,4.740000000000009,6.800000000000011,9.09,14.450959293369344,14.896082515864633,26.901847349748785,0.0
2368,2002-01-24,3.180000000000007,4.050000000000011,5.19,12.95,17.87053980630472,17.299149204699493,22.55269814504929,0.0
2369,2002-01-25,0.0900000000000318,2.800000000000012,5.150000000000034,3.25,4.350413027920363,5.940012844617909,19.86268530043138,0.0
2370,2002-01-26,3.2900000000000205,6.360000000000014,9.63,4.47,11.60572978776348,9.200595620163854,15.132089680267526,0.0
2371,2002-01-27,4.830000000000041,6.020000000000039,6.81,19.83,27.453707656140157,22.935996186720725,12.0260934935468,0.0
2372,2002-01-28,-0.0999999999999659,4.860000000000014,11.52,0.02,3.967676980410537,2.2285089994033442,9.817584494143453,0.0
2373,2002-01-29,-0.3700000000000045,5.470000000000027,10.95,0.0,4.357373438601083,1.6522128481364093,8.165371646007044,0.0
2374,2002-01-30,3.63,7.730000000000018,14.56,0.0,6.199153044137126,1.2803169997579986,6.885054646249046,0.0
2375,2002-01-31,4.180000000000007,5.770000000000039,8.410000000000025,1.35,5.352956399712046,2.3682478172917585,5.866806828957287,0.0
2376,2002-02-01,4.150000000000034,5.960000000000036,8.410000000000025,0.41,4.16505916997248,1.2361023920446348,5.040704436912653,0.0
2377,2002-02-02,4.69,8.670000000000016,13.33,0.0,5.263865038835757,0.680813522303285,4.359890914609368,0.0
2378,2002-02-03,4.350000000000023,9.19,14.76,7.41,13.208161024083932,7.978213366829851,3.791677547779517,0.0
2379,2002-02-04,3.9700000000000273,7.13,9.420000000000016,0.01,3.4400893668539,0.4891729916703408,3.312504556109176,0.0
2380,2002-02-05,2.950000000000045,6.78000000000003,10.17,18.16,22.794500035886557,18.56757652848718,2.9049280276219958,0.0
2381,2002-02-06,1.2900000000000205,2.260000000000048,3.2700000000000387,9.22,8.22278351516822,9.569191802768815,2.555736224853182,0.0
2382,2002-02-07,-0.7699999999999818,1.5,4.420000000000016,1.09,0.8644556398942573,1.2513971764419662,2.3943390484112155,0.0
2383,2002-02-08,1.32000000000005,3.910000000000025,5.020000000000039,5.91,6.950766943970412,6.189311709878785,2.1150273385324305,0.0
